                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5834,                 3.3568,                  1.489,                0.46184,                0.34723,                 0.3212,                0.17897,                 1.5843,                 2.6114,                 1.4641,               0.070199,              0.0033113,              0.0033113
                      1,                 1.5432,                 2.2258,                 1.4363,                0.41466,                0.32711,                0.29386,                0.15419,                 1.7318,                 2.3821,                 1.5473,               0.040034,              0.0064801,              0.0064801
                      2,                 1.6048,                 2.0702,                 1.4792,                0.26008,                0.23687,                0.16327,                0.08549,                 1.8802,                 3.0129,                 1.7679,              0.0097048,               0.009484,               0.009484
                      3,                 1.6765,                 2.0375,                 1.5254,                 0.4944,                0.35343,                0.33994,                0.17199,                 1.7757,                 2.2014,                 1.6231,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.6697,                 1.9561,                 1.5229,                0.38998,                0.37598,                0.32598,                 0.1609,                 1.8155,                 2.1671,                 1.6731,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.6346,                 1.8855,                 1.5015,                0.39653,                0.39101,                0.36635,                0.18556,                 1.7813,                 2.0975,                 1.6349,                0.00901,                0.00901,                0.00901
                      6,                 1.6196,                  1.812,                 1.4757,                0.49906,                0.46048,                0.44051,                0.23239,                 1.6873,                 1.8274,                  1.561,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.5836,                 1.7439,                 1.4578,                 0.4913,                0.47496,                 0.4406,                0.24693,                 1.5921,                  1.763,                 1.5084,               0.008515,               0.008515,               0.008515
                      8,                 1.5639,                 1.6638,                 1.4549,                0.54899,                0.42288,                0.42765,                0.21391,                 1.7513,                 1.8586,                 1.6565,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.5449,                 1.6259,                 1.4338,                0.56529,                 0.4622,                0.48226,                0.27363,                 1.5304,                 1.5939,                 1.4496,                0.00802,                0.00802,                0.00802
                     10,                 1.5046,                 1.5724,                 1.4025,                0.58322,                0.48568,                0.50955,                0.28711,                 1.5573,                 1.5172,                 1.4395,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.5024,                 1.5448,                 1.4002,                0.55554,                0.48798,                0.50433,                0.29105,                 1.5376,                 1.5204,                 1.4381,               0.007525,               0.007525,               0.007525
                     12,                 1.4768,                 1.4668,                 1.3754,                0.49887,                0.48608,                0.48762,                0.28684,                 1.4681,                 1.5385,                 1.3732,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.4816,                 1.4557,                 1.3757,                0.65643,                0.56336,                0.60459,                0.34682,                 1.4406,                 1.4066,                 1.3664,                0.00703,                0.00703,                0.00703
                     14,                 1.4702,                  1.446,                 1.3738,                0.67009,                0.54693,                0.60071,                0.33922,                  1.466,                 1.3688,                  1.382,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.4182,                  1.388,                 1.3524,                0.65584,                0.51206,                0.57554,                0.34463,                 1.4194,                 1.3857,                  1.344,               0.006535,               0.006535,               0.006535
                     16,                 1.4223,                 1.3612,                 1.3521,                 0.6871,                 0.5708,                 0.6358,                0.37949,                 1.4125,                 1.2817,                  1.337,              0.0062875,              0.0062875,              0.0062875
                     17,                   1.41,                 1.3486,                 1.3381,                0.65369,                 0.5673,                0.61636,                0.36744,                 1.4106,                 1.2852,                 1.3366,                0.00604,                0.00604,                0.00604
                     18,                 1.3909,                 1.3521,                 1.3303,                0.74422,                0.54987,                0.65339,                0.38386,                 1.3946,                 1.2447,                 1.3599,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.3687,                 1.3139,                 1.3153,                0.69205,                0.59457,                0.65405,                0.39458,                 1.3822,                 1.2362,                 1.3304,               0.005545,               0.005545,               0.005545
                     20,                 1.3601,                 1.2755,                 1.3048,                0.72453,                0.63129,                0.69899,                0.42772,                 1.3529,                 1.1685,                 1.2921,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.3714,                 1.2845,                  1.306,                0.72171,                0.62953,                0.69844,                0.43367,                 1.3342,                 1.1562,                 1.2805,                0.00505,                0.00505,                0.00505
                     22,                 1.3479,                 1.2309,                 1.2994,                0.72193,                0.64757,                0.71404,                0.44315,                 1.3245,                 1.1192,                 1.2791,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.3246,                 1.2114,                  1.296,                0.70835,                0.63303,                0.69398,                0.43183,                 1.3089,                 1.1447,                 1.2703,               0.004555,               0.004555,               0.004555
                     24,                 1.3209,                 1.1917,                 1.2755,                0.74105,                0.64921,                0.72666,                0.46759,                 1.2768,                 1.0617,                 1.2396,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.3109,                 1.1745,                 1.2606,                0.76171,                 0.6587,                0.74056,                0.47593,                 1.2526,                 1.0391,                 1.2259,                0.00406,                0.00406,                0.00406
                     26,                 1.3004,                  1.152,                 1.2749,                0.77527,                0.65331,                0.75176,                0.46908,                 1.2767,                   1.04,                 1.2476,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.2898,                 1.1372,                 1.2646,                0.71755,                0.65271,                0.71775,                0.46285,                 1.2563,                 1.0341,                 1.2236,               0.003565,               0.003565,               0.003565
                     28,                 1.2479,                 1.1068,                 1.2358,                0.77079,                0.67195,                0.75789,                0.49347,                  1.231,                0.99718,                 1.2141,              0.0033175,              0.0033175,              0.0033175
                     29,                  1.274,                 1.1106,                 1.2426,                0.75826,                0.65942,                0.74553,                0.49199,                 1.2203,                0.99559,                 1.2018,                0.00307,                0.00307,                0.00307
                     30,                  1.241,                  1.037,                 1.2293,                0.79741,                0.66562,                0.76235,                0.49457,                  1.236,                 1.0104,                 1.2146,              0.0028225,              0.0028225,              0.0028225
                     31,                  1.202,                 1.0036,                  1.211,                 0.7937,                0.69871,                0.78816,                0.52829,                 1.1782,                0.94886,                 1.1904,               0.002575,               0.002575,               0.002575
                     32,                  1.183,                0.99104,                 1.2095,                0.79169,                0.72159,                0.80326,                0.54538,                 1.1764,                0.91588,                 1.1707,              0.0023275,              0.0023275,              0.0023275
                     33,                 1.1766,                0.95222,                 1.1986,                0.78974,                0.74845,                0.81248,                 0.5555,                 1.1603,                0.89797,                 1.1654,                0.00208,                0.00208,                0.00208
                     34,                 1.1758,                0.94493,                 1.1869,                0.85072,                0.73453,                0.83422,                0.58758,                 1.1257,                0.85666,                 1.1391,              0.0018325,              0.0018325,              0.0018325
                     35,                 1.1558,                0.90514,                 1.1713,                 0.8135,                 0.7545,                0.83867,                0.58521,                 1.1327,                0.85384,                 1.1288,               0.001585,               0.001585,               0.001585
                     36,                 1.1462,                0.90311,                 1.1698,                0.85476,                0.75462,                0.85058,                0.60581,                 1.1012,                0.82703,                 1.1232,              0.0013375,              0.0013375,              0.0013375
                     37,                 1.1232,                0.86899,                 1.1551,                0.85189,                0.74556,                0.85211,                0.61411,                 1.0921,                0.82053,                 1.1191,                0.00109,                0.00109,                0.00109
                     38,                 1.1151,                0.84692,                 1.1443,                0.84982,                0.76307,                0.85143,                0.60627,                 1.0885,                0.80251,                 1.1197,              0.0008425,              0.0008425,              0.0008425
                     39,                 1.0887,                0.82031,                 1.1345,                0.87483,                 0.7737,                0.87259,                0.63394,                 1.0702,                0.76764,                 1.1019,               0.000595,               0.000595,               0.000595
